Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Harvard Hooded Crest Sweatshirt,3697,QUALIT,3 Classic Collection,Quality,022 Apparel > Sweatshirts > Hooded,A - Bin 7,8117.970000,11781.054000,4278.930000,5366.658000,2053.300000,3297.010000,5159.278000,3851.437000,5102.168000,3870.475000,5581.890000,2447.550000,4638.590000,8747.040000,4093.090000,4008.760000,4215.700000,3316.200000,5600.372500,3152.802000,3322.691500,4727.950000,4897.940000,1941.930000,113570.786000,37388.657740,76182.128260,0.670790,15.150000
USPS Priority Mail International,2,,Freight,Freight,Freight,,9342.580000,9421.660000,4952.920000,5003.900000,3549.710000,3925.790000,4170.690000,4945.090000,5441.770000,5458.310000,4882.780000,4108.670000,6490.670000,5889.920000,4618.400000,3821.330000,4455.320000,5016.730000,3963.920000,3856.840000,2517.920000,1097.280000,571.410000,116.420000,107620.030000,0.000000,107620.030000,1.000000,0.790000
USPS Retail Ground,4,,Freight,Freight,Freight,,9564.010000,13950.410000,4561.060000,7283.290000,5724.910000,5043.390000,6135.890000,1972.550000,2464.550000,2345.410000,1273.490000,1267.160000,2397.580000,2499.680000,1483.710000,667.810000,444.000000,0.000000,0.000000,0.000000,0.000000,135.310000,0.000000,0.000000,69214.210000,0.000000,69214.210000,1.000000,0.000000
USPS Priority Mail 2-Day,1,,Freight,Freight,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2733.180000,5168.980000,3532.180000,3630.860000,4644.920000,7847.580000,3930.180000,3139.780000,5026.640000,5516.250000,4756.010000,3873.490000,3853.550000,3702.530000,4720.030000,1796.280000,67872.440000,0.000000,67872.440000,1.000000,40.650000
Harvard Crest T-Shirt,264,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 32,1470.180000,1386.568820,539.730000,2334.434000,1436.480000,1772.840000,5512.369000,5353.869500,5426.408000,3907.411870,1825.860000,992.020000,1735.970000,1532.120000,1149.020000,2837.500000,1834.020000,2990.910000,3982.810500,2628.995000,2315.810000,2922.212500,1367.300000,376.750000,57631.589190,11971.001020,45660.588150,0.792284,7.010000
Harvard Hooded Arc Sweatshirt,2147,QUALIT,3 Classic Collection,Quality,022 Apparel > Sweatshirts > Hooded,A - Bin 6,3799.050000,5038.740000,1159.710000,1781.554500,2218.150000,855.192200,2465.870000,3589.179000,2771.960000,1479.550000,3078.130000,2665.060000,3822.780000,4109.150000,2319.500000,1256.220000,1593.890000,1374.100000,1296.720000,1193.701500,867.100000,973.900000,1501.910000,1496.020000,52707.137200,18895.237870,33811.899330,0.641505,2.000000
Standard Chair,StandardChairWithoutPersona,,,Standard Chair,"400 Frames, Rings, Chairs, Lamps",,1549.970000,1999.970000,1499.980000,1499.970000,3349.960000,2649.950000,1649.970000,3499.930000,2049.960000,2099.960000,2599.950000,1549.970000,1538.750000,3149.940000,1549.970000,3249.940000,1939.990000,2029.980000,2119.960000,1059.980000,1589.970000,529.990000,1589.970000,0.000000,46347.980000,30867.840000,15480.140000,0.333998,849.790000
Pro-Weave Crewneck,10807,,2 Lifestyle Collection,MV Sport,021 Apparel > Sweatshirts > Crewneck,B - Bin 18,1709.620000,5713.630000,944.790000,2474.450000,2139.120000,1735.920000,2514.658000,1300.510000,1464.151000,1731.962000,1464.680000,1764.770000,3163.480000,4051.490000,2339.340000,191.860000,1840.850000,1875.260000,1723.747500,1178.775000,1022.620000,1934.930000,1456.900000,509.930000,46247.443500,21541.230370,24706.213130,0.534218,4.670000
Merino Wool H Sweater,10667,,1 Heritage Collection,Hillflint,070 Apparel > Knit Sweaters,Mt. A Base,6600.000000,3342.010000,240.000000,600.000000,453.600000,201.600000,2421.010000,120.000000,102.000000,439.320000,11452.410000,9624.050000,3353.520000,1437.880000,1424.680000,120.000000,883.200000,958.800000,1428.850000,240.000000,107.270000,521.870000,0.000000,0.000000,46072.070000,24769.587370,21302.482630,0.462373,2.630000
Pro-Weave Hood,10815,,2 Lifestyle Collection,MV Sport,022 Apparel > Sweatshirts > Hooded,A - Bin 4,1599.680000,2649.470000,1049.790000,2681.963500,1472.950000,1074.730000,2925.796000,2426.106000,738.462000,1276.048500,1364.930000,1097.410000,1971.450000,883.250000,1712.240000,847.800000,1219.420000,1061.370000,4705.672120,1310.311000,875.950000,2420.695000,1526.320000,531.190000,39423.004120,18927.858470,20495.145650,0.519878,0.980000
