month,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2018-01,657,36239.390,-2105.930,-4549.980,29583.480,11934.080,44.410,41561.970
2018-02,831,58849.480,-2683.380,-20079.950,36086.150,12420.650,51.510,48558.310
2018-03,885,100139.720,-40311.980,-5169.810,54657.930,12642.200,144.090,67444.220
2018-04,780,51798.430,-3517.260,-4515.230,43765.940,11696.370,116.600,55578.910
2018-05,1017,63803.000,-4952.470,-7622.750,51227.780,14798.570,62.820,66089.170
2018-06,1065,60942.150,-4095.800,-11616.440,45229.910,13474.310,180.970,58885.190
2018-07,1058,53542.510,-3255.950,-7971.880,42314.680,13983.530,49.330,56347.540
2018-08,1553,80931.930,-7685.830,-10661.270,62584.830,17760.220,148.600,80493.650
2018-09,1015,60649.990,-4908.490,-8468.200,47273.300,12566.330,26.340,59865.970
2018-10,984,58429.510,-4656.370,-7802.330,45970.810,11285.540,44.050,57300.400
2018-11,1393,82888.080,-8659.630,-9322.310,64906.140,17407.020,78.290,82391.450
2018-12,1593,77713.230,-2798.940,-10253.150,64661.140,20369.400,133.870,85164.410
