month,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2019-01,867,46869.87,-2307.8,-9803.25,34758.82,12025.02,44.03,46827.87
2019-02,675,38219.64,-2615.34,-4317.8,31286.5,10001.21,107.83,41395.54
2019-03,931,48107.86,-3028.78,-4488.51,40590.57,13079.19,91.42,53761.18
2019-04,978,57425.73,-5627.5,-3788.23,48010,13777.52,201.35,61988.87
2019-05,829,45966.94,-3797.56,-5660.04,36509.34,11132.1,61.64,47703.08
2019-06,752,38478.45,-2177.15,-3355.82,32945.48,10240.37,95.93,43281.78
2019-07,879,43358.03,-2194.08,-2885.75,38278.2,10588.43,98.63,48965.26
2019-08,944,50298.91,-4147.79,-2653.33,43497.79,9729.72,52.87,53280.38
2019-09,978,54469.82,-3686.3,-4838.37,45945.15,9788.62,65.55,55799.32
2019-10,1066,58510.75,-2114.59,-4171.44,52224.72,10901.52,26.66,63152.9
2019-11,678,37680.6,-501.45,-3362.65,33816.5,7650.27,65.42,41532.19
