billing_country,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
United States,899,47500.370,-680.320,-4252.380,42567.670,6905.190,77.080,49549.940
Canada,64,4196.480,-107.520,-531.400,3557.560,1277.350,0.000,4834.910
France,13,1064.810,-7.180,-65.990,991.640,460.170,0.000,1451.810
Australia,16,878.760,-22.100,-60.390,796.270,402.030,0.000,1198.300
Germany,15,829.950,-5.990,-59.400,764.560,421.050,0.000,1185.610
United Kingdom,17,666.280,-1.940,0.000,664.340,417.890,0.000,1082.230
Switzerland,7,716.360,0.000,0.000,716.360,243.300,0.000,959.660
Italy,8,421.850,0.000,0.000,421.850,240.250,0.000,662.100
Japan,6,440.560,0.000,-89.980,350.580,143.410,0.000,493.990
Hong Kong,3,308.090,0.000,0.000,308.090,123.080,0.000,431.170
India,3,260.850,0.000,0.000,260.850,169.410,0.000,430.260
Bahrain,1,228.930,0.000,0.000,228.930,75.280,0.000,304.210
South Korea,3,226.390,-15.240,0.000,211.150,89.600,0.000,300.750
United Arab Emirates,3,235.910,0.000,0.000,235.910,49.700,0.000,285.610
Saudi Arabia,1,185.970,0.000,0.000,185.970,96.130,0.000,282.100
Netherlands,5,229.940,-2.240,-39.990,187.710,62.280,0.000,249.990
Bangladesh,1,158.930,0.000,0.000,158.930,84.000,0.000,242.930
Taiwan,1,143.650,0.000,0.000,143.650,78.590,0.000,222.240
Mexico,3,160.930,-12.890,-4.990,143.050,45.350,0.000,188.400
Spain,1,107.440,0.000,0.000,107.440,70.040,0.000,177.480
Israel,1,75.000,0.000,0.000,75.000,78.320,0.000,153.320
Croatia,1,108.970,0.000,0.000,108.970,40.150,0.000,149.120
Austria,2,95.970,0.000,0.000,95.970,52.440,0.000,148.410
Sweden,1,91.760,0.000,0.000,91.760,40.970,0.000,132.730
Kyrgyzstan,1,74.980,0.000,0.000,74.980,42.330,0.000,117.310
Norway,1,74.980,0.000,0.000,74.980,40.970,0.000,115.950
Slovenia,1,114.970,0.000,0.000,114.970,0.000,0.000,114.970
Aruba,1,62.970,0.000,0.000,62.970,42.070,0.000,105.040
Ireland,3,115.460,0.000,-34.990,80.470,24.100,0.000,104.570
Chile,1,74.980,0.000,0.000,74.980,26.770,0.000,101.750
New Zealand,1,65.990,0.000,0.000,65.990,26.770,0.000,92.760
Malaysia,1,63.980,0.000,0.000,63.980,26.770,0.000,90.750
Thailand,1,60.960,0.000,0.000,60.960,26.770,0.000,87.730
Luxembourg,1,49.980,0.000,0.000,49.980,26.220,0.000,76.200
Philippines,1,104.960,0.000,-29.990,74.970,0.000,0.000,74.970
Poland,1,39.990,0.000,0.000,39.990,26.220,0.000,66.210
Slovakia,1,56.980,0.000,0.000,56.980,8.530,0.000,65.510
Senegal,1,29.980,0.000,0.000,29.980,25.400,0.000,55.380
Brazil,1,31.980,-4.780,0.000,27.200,26.770,0.000,53.970
Singapore,1,23.990,0.000,0.000,23.990,26.770,0.000,50.760
Panama,1,27.990,-4.190,0.000,23.800,5.260,0.000,29.060
Denmark,1,36.990,0.000,-105.980,-68.990,26.220,0.000,-42.770
