Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,2018,2019,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Harvard Crest T-Shirt,264,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 32,288267.019430,255698.350820,543965.370250,116260.151866,427705.218384,0.786273,7.010000
Harvard Hooded Crest Sweatshirt,3697,QUALIT,3 Classic Collection,Quality,022 Apparel > Sweatshirts > Hooded,A - Bin 7,249578.191400,194614.459780,444192.651180,138784.491550,305408.159640,0.687558,13.220000
Harvard Arc T-shirt,1200,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 34,133830.706080,110396.926800,244227.632880,48918.773690,195308.859200,0.799700,6.040000
Harvard Hooded Arc Sweatshirt,2147,QUALIT,3 Classic Collection,Quality,022 Apparel > Sweatshirts > Hooded,A - Bin 6,127333.112100,85537.453460,212870.565560,68667.232820,144203.332740,0.677423,2.000000
Pro-Weave Hood,10815,,2 Lifestyle Collection,MV Sport,022 Apparel > Sweatshirts > Hooded,A - Bin 4,104211.267870,104086.557010,208297.824880,92694.634880,115603.190000,0.554990,0.980000
Pro-Weave Crewneck,10807,,2 Lifestyle Collection,MV Sport,021 Apparel > Sweatshirts > Crewneck,B - Bin 18,94167.520730,76244.985950,170412.506680,75702.913320,94709.593360,0.555767,3.630000
Harvard Premium Hood,11109,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,Clearance,111224.291230,45761.598380,156985.889610,82278.730665,74707.158945,0.475885,0.600000
Youth Harvard Crest Hooded Sweatshirt,3175,QUALIT,"7 Youth, Toddler, Infant",Quality,022 Apparel > Sweatshirts > Hooded,B - Bin 53,56334.106900,49849.351690,106183.458590,44905.777650,61277.680940,0.577093,4.030000
Harvard Youth Crest T-Shirt,3098,QUALIT,"7 Youth, Toddler, Infant",Quality,"010 Apparel > T-shirts, Tanks",B - Bin 52,45198.220590,53967.147830,99165.368420,24073.055820,75092.312600,0.757243,3.010000
USPS Priority Mail International,2,,Freight,Freight,Freight,,58820.220000,30035.570000,88855.790000,0.000000,88855.790000,1.000000,0.790000
Harvard Ladies Crest T-Shirt,3773,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 36,36625.113790,42117.088390,78742.202180,15119.208030,63622.994150,0.807991,2.770000
Harvard Hockey Applique Sweatshirt,10598,,3 Classic Collection,Bay State Apparel,022 Apparel > Sweatshirts > Hooded,"B - Bin 8, Clearance",57974.174700,20281.306070,78255.480770,27248.464720,51007.016050,0.651801,2.770000
Classic H Hat,11018,,2 Lifestyle Collection,Quality,030 Apparel > Hats,A - Bin 2,33602.908250,42643.595270,76246.503520,22347.120610,53899.382910,0.706910,2.600000
The Premier Harvard Felt Hood,11435,,2 Lifestyle Collection,Ouray,022 Apparel > Sweatshirts > Hooded,A - Bin 5,4068.791080,69330.833540,73399.624620,34969.750100,38429.874520,0.523570,0.260000
USPS Priority Mail 2-Day,1,,Freight,Freight,,,27557.700000,40263.120000,67820.820000,0.000000,67820.820000,1.000000,40.650000
Premium Faded T-Shirt,11081,,4 Fall 2017 Collection,Ouray,"010 Apparel > T-shirts, Tanks","tshirts, cf-color-crimson, S, soft, XL, tshirt, T-shirt, women's shirts, B - Bin 31, Tops, unisex, teeshirt, t-shirts, top, Women's, tee, shirts, women, premium, premium tee",36438.398120,28010.442550,64448.840670,30539.661300,33909.179370,0.526141,1.540000
Harvard Legacy Deluxe Crew,11443,,2 Lifestyle Collection,Ouray,021 Apparel > Sweatshirts > Crewneck,B - Bin 19,4745.207500,59000.139340,63745.346840,33313.708260,30431.638580,0.477394,1.040000
Merino Wool H Sweater,10667,,1 Heritage Collection,Hillflint,070 Apparel > Knit Sweaters,Mt. A Base,48766.890000,13305.116320,62072.006320,34431.176360,27640.829960,0.445303,0.490000
Harvard Nantucket Fleece,11657,,Spring 2019,Bay State Apparel,021 Apparel > Sweatshirts > Crewneck,"B - Bin 20, sweatshirt",119.970000,60643.546060,60763.516060,24782.091930,35981.424130,0.592155,0.550000
Premium Cotton H Sweater,10583,,1 Heritage Collection,Hillflint,070 Apparel > Knit Sweaters,Mt. A Base,34447.450000,24225.340000,58672.790000,27157.552850,31515.237150,0.537135,5.100000
Harvard Athletic Long Sleeve Tee,11504,,2 Lifestyle Collection,Ouray,General,B - Bin 13,18552.155750,37229.101530,55781.257280,27174.066960,28607.190320,0.512846,4.220000
Premium Comfort T-Shirt,11073,,4 Fall 2017 Collection,Ouray,"010 Apparel > T-shirts, Tanks",B - Bin 31,29013.254560,23149.901970,52163.156530,24458.034520,27705.122010,0.531124,3.130000
Vintage Crew Sweatshirt,3167,QUALIT,3 Classic Collection,Quality,021 Apparel > Sweatshirts > Crewneck,B - Bin 21,22517.557200,28806.304090,51323.861290,12725.786730,38598.074560,0.752049,2.000000
Hat & Tee Combo,11004,,3 Classic Collection,Ouray,,,39125.844320,9604.080230,48729.924550,18761.180260,29968.744290,0.614997,0.000000
Harvard Est. 1636 Hat,11093,,2 Lifestyle Collection,Quality,030 Apparel > Hats,A - Bin 2,26114.034670,22037.123980,48151.158650,15567.823440,32583.335210,0.676688,1.740000
Harvard Youth Arc T-Shirt,3683,QUALIT,"7 Youth, Toddler, Infant",Quality,"010 Apparel > T-shirts, Tanks",B - Bin 51,26024.826880,21300.001830,47324.828710,10829.949340,36494.879370,0.771157,8.230000
Harvard Varsity Jacket,11023,,4 Fall 2017 Collection,Apparel Empire,050 Apparel > Jackets,,36977.071360,9902.306370,46879.377730,17973.196690,28906.181040,0.616608,0.200000
USPS Retail Ground,4,,Freight,Freight,Freight,,42954.990000,2730.830000,45685.820000,0.000000,45685.820000,1.000000,0.000000
Vintage Crew T-Shirt,10344,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 24,17590.259360,27829.089850,45419.349210,17498.984840,27920.364370,0.614724,1.330000
Standard Chair,StandardChairWithoutPersona,,,Standard Chair,"400 Frames, Rings, Chairs, Lamps",,27138.290000,15659.750000,42798.040000,28519.200000,14278.840000,0.333633,749.800000
Harvard Rugby Shirt,10955,,2 Lifestyle Collection,Quality,090 Apparel > Other,B - Bin 22,19176.936980,22754.075500,41931.012480,25990.061680,15940.950800,0.380171,0.510000
Harvard Sweatpants,3114,QUALIT,3 Classic Collection,Quality,040 Apparel > Pants and Shorts,B - Bin 17,18995.567620,20977.510170,39973.077790,16697.269600,23275.808190,0.582287,1.600000
Ivory Terry Crew,11216,,4 Fall 2017 Collection,Apparel Empire,021 Apparel > Sweatshirts > Crewneck,Clearance,34750.974690,4693.920500,39444.895190,18258.000000,21186.895190,0.537126,0.520000
Harvard Premium Quarter Zip,11124,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,Clearance,37358.437000,819.567500,38178.004500,17379.300030,20798.704470,0.544782,3.450000
Lorelei Long Sleeve,10837,,2 Lifestyle Collection,Apparel Empire,"010 Apparel > T-shirts, Tanks",Clearance,28663.787700,5925.885640,34589.673340,17374.703820,17214.969520,0.497691,2.280000
"The ""Kenny"" Quarter Zip",11279,,2 Lifestyle Collection,Apparel Empire,023 Apparel > Sweatshirts > Zip,Clearance,30202.326960,4167.783650,34370.110610,16786.000000,17584.110610,0.511611,1.180000
Harvard Athletic Shield Hat,11016,,2 Lifestyle Collection,Quality,030 Apparel > Hats,A - Bin 2,15282.445890,18959.841600,34242.287490,10604.502630,23637.784860,0.690310,1.440000
Quilted Crew,11035a,,4 Fall 2017 Collection,Apparel Empire,021 Apparel > Sweatshirts > Crewneck,"B - Bin 20, Clearance",23773.080500,8048.758230,31821.838730,12631.989830,19189.848900,0.603040,1.520000
Felt H Hat,11154,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,A - Bin 2,16366.598920,15290.844500,31657.443420,10876.763520,20780.679900,0.656423,2.540000
USA West (4-6 Business Days),USAWest4-6BusinessDays,,Freight,Freight,,,20055.000000,11600.000000,31655.000000,0.000000,31655.000000,1.000000,3.100000
Harvard Hockey Hood / Navy,11663,,,Bay State Apparel,022 Apparel > Sweatshirts > Hooded,"hoodies, Sweatshirts, A - Bin 8, hockey",0.000000,30431.727630,30431.727630,10424.146810,20007.580820,0.657458,1.590000
H 1636 Hat,11013,,2 Lifestyle Collection,Quality,030 Apparel > Hats,A - Bin 2,16404.737050,13216.279030,29621.016080,8934.514470,20686.501610,0.698372,1.170000
Harvard Baseball Crew,11095,,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,Clearance,21445.309500,6871.837250,28317.146750,14402.889190,13914.257560,0.491372,0.650000
Hahvahd T-Shirt,1389,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",B - Bin 24,14371.964800,13517.942840,27889.907640,6015.322570,21874.585070,0.784319,4.760000
"The ""Harrison"" Jacket",11221,,2 Lifestyle Collection,Apparel Empire,050 Apparel > Jackets,Clearance,20800.113090,6446.437440,27246.550530,11767.000000,15479.550530,0.568129,0.000000
Varsity Script Hat,11156,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,A - Bin 2,12155.541440,13706.805430,25862.346870,8856.041410,17006.305460,0.657570,0.000000
Harvard Future Freshman Shirt,655,FREEDM,"7 Youth, Toddler, Infant",FREEDOM,"010 Apparel > T-shirts, Tanks",B - Bin 48,19392.184500,6444.981650,25837.166150,8356.000000,17481.166150,0.676590,1.400000
H Long Sleeve Victory Tee,10932,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",Clearance,24875.867730,913.870300,25789.738030,10979.442880,14810.295150,0.574271,0.390000
Toddler Varsity Jacket,11142,,"7 Youth, Toddler, Infant",Creative Knitwear,050 Apparel > Jackets,"B - Bin 49, B - Bin 54",16321.244500,9368.763500,25690.008000,12938.065970,12751.942030,0.496378,2.010000
Ladies' Harvard Cozy Crew,11488,,2 Lifestyle Collection,Ouray,021 Apparel > Sweatshirts > Crewneck,B - Bin 19,475.574500,24266.010070,24741.584570,13266.590730,11474.993840,0.463794,0.000000
Harvard Ladies' Shield Quarter Zip,11476,,2 Lifestyle Collection,Ouray,023 Apparel > Sweatshirts > Zip,B - Bin 18,0.000000,24711.617000,24711.617000,12337.127310,12374.489690,0.500756,0.000000
Harvard Elite Men's Athletic Shorts,11496,,2 Lifestyle Collection,Ouray,040 Apparel > Pants and Shorts,B - Bin 14,7865.082500,15266.541640,23131.624140,10936.367750,12195.256390,0.527211,4.490000
Harvard Applique Full Zip,10642,,Clearance,Bay State Apparel,023 Apparel > Sweatshirts > Zip,Clearance,21160.475090,870.632240,22031.107330,8230.267460,13800.839870,0.626425,1.040000
Ladies French Terry Crew,10755,,2 Lifestyle Collection,MV Sport,021 Apparel > Sweatshirts > Crewneck,,21533.222160,58.550000,21591.772160,11379.752520,10212.019640,0.472959,0.430000
