month,fulfillment_status,sale_line_type,sale_kind,customer_type,product_price,product_title,total_sales,average_order_value,discounts,net_sales,returns,total_cost,gross_profit
2016-10,fulfilled,product,order,Returning,34.99,Vintage Crew Sweatshirt,122.49,30.622,-17.47,122.49,0,0,0
2016-10,fulfilled,product,order,First-time,2.99,Red Harvard Pen,41.58,8.316,-6.26,41.58,0,0,0
2016-10,fulfilled,product,order,Returning,36.99,Harvard Crest Joggers,29.6,29.6,-7.39,29.6,0,0,0
2016-10,fulfilled,product,order,First-time,2.99,Harvard Business School Barrel Pen,5.53,2.765,-0.45,5.53,0,0,0
2016-10,fulfilled,product,order,Returning,14.99,Harvard Silver Steel Water Bottle,12.74,12.74,-2.25,12.74,0,0,0
2016-10,fulfilled,product,order,First-time,44.99,Harvard Hockey Applique Sweatshirt,697.4,43.587,-67.43,697.4,0,0,0
2016-10,fulfilled,product,order,Returning,14.99,Harvard Speckled Mug,12.74,12.74,-3,11.99,0,0,0
2016-10,fulfilled,product,order,First-time,44.99,Crush Crew Sweater,404.95,44.994,-44.95,404.95,0,0,0
2016-10,fulfilled,product,order,Returning,14.99,Harvard Crest Cinch Bag,38.23,38.23,-6.74,38.23,0,0,0
2016-10,fulfilled,product,order,First-time,44.99,Harvard Duffle Bag,112.49,37.496,-22.48,112.49,0,0,0
2016-10,fulfilled,product,order,Returning,5.99,Harvard 3D Crest Magnet,25.16,8.386,-5.09,24.86,0,0,0
2016-10,fulfilled,product,order,First-time,44.99,Harvard Quarter Zip Applique,375.68,41.742,-29.23,375.68,0,0,0
2016-10,fulfilled,product,order,Returning,5.99,Harvard Pewter Magnet Clip,4.79,4.79,-1.2,4.79,0,0,0
2016-10,fulfilled,product,order,First-time,10.99,Harvard Whiskey Shot Glass,9.35,9.35,-1.64,9.35,0,0,0
2016-10,fulfilled,product,order,Returning,49.95,Vineyard Vines Harvard Belt,49.95,49.95,0,49.95,0,0,0
2016-10,fulfilled,product,order,First-time,11.99,Harvard Youth Arc T-Shirt,124.72,15.59,-7.17,124.72,0,0,0
2016-10,fulfilled,product,order,Returning,4.99,Harvard Crest Pin,3.99,3.99,-1,3.99,0,0,0
2016-10,fulfilled,product,order,First-time,11.99,Harvard Crest Infant Onesie,68.35,13.67,-3.59,68.35,0,0,0
2016-10,fulfilled,product,order,Returning,4.99,Harvard Lanyard,23.22,5.805,-1.73,23.22,0,0,0
2016-10,fulfilled,product,order,First-time,11.99,Harvard Crest Bib,23.98,23.98,0,23.98,0,0,0
2016-10,fulfilled,product,order,Returning,4.99,Spinner Keychain,4.24,4.24,-1,3.99,0,0,0
2016-10,fulfilled,product,order,First-time,11.99,Harvard Cinch Bag,21.58,10.79,-2.4,21.58,0,0,0
2016-10,fulfilled,product,order,Returning,4.99,"""H"" Car Decal",17.47,5.823,-2.99,16.97,0,0,0
2016-10,fulfilled,product,order,First-time,49.95,Vineyard Vines Harvard Belt,103.02,51.51,0,99.9,0,0,0
2016-10,fulfilled,product,order,Returning,10.99,Veritas T-Shirt,9.34,9.34,-1.65,9.34,0,0,0
2016-10,fulfilled,product,order,First-time,36.99,Harvard Crest Joggers,103.58,34.526,-7.39,103.58,0,0,0
2016-10,fulfilled,product,order,Returning,7.99,Harvard Color Filled Keychain,6.79,6.79,-1.2,6.79,0,0,0
2016-10,fulfilled,product,order,Returning,2.99,White Harvard Pen,14.95,14.95,0,14.95,0,0,0
2016-10,fulfilled,product,order,First-time,64.99,Harvard Rugby Shirt,458.23,57.278,-61.69,458.23,0,0,0
2016-10,unfulfilled,shipping,return,Returning,0,,-13.16,0,0,0,0,0,0
